class;collection;methods;adicao;remocao;busca;acesso;edicao
freecs.commands.CmdListOnlineFriends;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdListOnlineFriends;java.util.List;3;1;0;2;0;0
freecs.commands.CmdListOnlineFriends;java.util.Map;0;0;0;0;0;0
freecs.auth.SQLAuthenticator;java.util.Set;0;0;0;0;0;0
freecs.auth.SQLAuthenticator;java.util.List;0;0;0;0;0;0
freecs.auth.SQLAuthenticator;java.util.Map;0;0;0;0;0;0
freecs.util.HashUtils;java.util.Set;149;149;0;0;0;0
freecs.util.HashUtils;java.util.List;0;0;0;0;0;0
freecs.util.HashUtils;java.util.Map;0;0;0;0;0;0
freecs.core.CentralSelector.KeepAliveTimeoutChecker;java.util.Set;1;0;0;0;1;0
freecs.core.CentralSelector.KeepAliveTimeoutChecker;java.util.List;0;0;0;0;0;0
freecs.core.CentralSelector.KeepAliveTimeoutChecker;java.util.Map;0;0;0;0;0;0
freecs.external.StateRequestHandler;java.util.Set;0;0;0;0;0;0
freecs.external.StateRequestHandler;java.util.List;0;0;0;0;0;0
freecs.external.StateRequestHandler;java.util.Map;1;0;0;1;0;0
freecs.core.Responder;java.util.Set;2;0;0;0;2;0
freecs.core.Responder;java.util.List;0;0;0;0;0;0
freecs.core.Responder;java.util.Map;0;0;0;0;0;0
freecs.commands.CmdSu;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdSu;java.util.List;6;0;0;4;2;0
freecs.commands.CmdSu;java.util.Map;0;0;0;0;0;0
freecs.core.UserManager.UserStore;java.util.Set;2;0;0;0;2;0
freecs.core.UserManager.UserStore;java.util.List;0;0;0;0;0;0
freecs.core.UserManager.UserStore;java.util.Map;7;2;2;3;0;0
freecs.core.CentralSelector;java.util.Set;5;0;0;3;2;0
freecs.core.CentralSelector;java.util.List;0;0;0;0;0;0
freecs.core.CentralSelector;java.util.Map;0;0;0;0;0;0
freecs.util.MessageTemplateFinder;java.util.Set;8;6;0;1;1;0
freecs.util.MessageTemplateFinder;java.util.List;0;0;0;0;0;0
freecs.util.MessageTemplateFinder;java.util.Map;1;0;1;0;0;0
freecs.core.MessageRenderer;java.util.Set;0;0;0;0;0;0
freecs.core.MessageRenderer;java.util.List;1;0;0;1;0;0
freecs.core.MessageRenderer;java.util.Map;0;0;0;0;0;0
freecs.content.HTTPRequest;java.util.Set;0;0;0;0;0;0
freecs.content.HTTPRequest;java.util.List;0;0;0;0;0;0
freecs.content.HTTPRequest;java.util.Map;1;1;0;0;0;0
freecs.auth.AuthManager;java.util.Set;0;0;0;0;0;0
freecs.auth.AuthManager;java.util.List;4;2;0;1;1;0
freecs.auth.AuthManager;java.util.Map;0;0;0;0;0;0
freecs.core.Listener;java.util.Set;2;0;0;0;2;0
freecs.core.Listener;java.util.List;0;0;0;0;0;0
freecs.core.Listener;java.util.Map;2;1;0;1;0;0
freecs.core.User;java.util.Set;2;0;0;0;2;0
freecs.core.User;java.util.List;27;5;2;17;3;0
freecs.core.User;java.util.Map;5;2;1;2;0;0
freecs.external.StaticRequestHandler;java.util.Set;0;0;0;0;0;0
freecs.external.StaticRequestHandler;java.util.List;0;0;0;0;0;0
freecs.external.StaticRequestHandler;java.util.Map;2;1;0;1;0;0
freecs.commands.CmdListVips;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdListVips;java.util.List;4;0;0;3;1;0
freecs.commands.CmdListVips;java.util.Map;0;0;0;0;0;0
freecs.commands.CmdInvite;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdInvite;java.util.List;4;0;0;2;2;0
freecs.commands.CmdInvite;java.util.Map;0;0;0;0;0;0
freecs.commands.CmdPunish;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdPunish;java.util.List;5;0;0;3;2;0
freecs.commands.CmdPunish;java.util.Map;0;0;0;0;0;0
freecs.content.ContentContainer;java.util.Set;0;0;0;0;0;0
freecs.content.ContentContainer;java.util.List;1;0;0;1;0;0
freecs.content.ContentContainer;java.util.Map;0;0;0;0;0;0
freecs.core.RequestEvaluator;java.util.Set;0;0;0;0;0;0
freecs.core.RequestEvaluator;java.util.List;4;2;0;0;2;0
freecs.core.RequestEvaluator;java.util.Map;10;7;0;3;0;0
freecs.auth.sqlConnectionPool.DbProperties;java.util.Set;0;0;0;0;0;0
freecs.auth.sqlConnectionPool.DbProperties;java.util.List;17;8;2;3;4;0
freecs.auth.sqlConnectionPool.DbProperties;java.util.Map;0;0;0;0;0;0
freecs.core.Group;java.util.Set;0;0;0;0;0;0
freecs.core.Group;java.util.List;33;1;2;25;5;0
freecs.core.Group;java.util.Map;0;0;0;0;0;0
freecs.core.GroupManager;java.util.Set;2;0;0;0;2;0
freecs.core.GroupManager;java.util.List;29;10;9;4;6;0
freecs.core.GroupManager;java.util.Map;18;4;2;12;0;0
freecs.layout.TemplateSet;java.util.Set;0;0;0;0;0;0
freecs.layout.TemplateSet;java.util.List;0;0;0;0;0;0
freecs.layout.TemplateSet;java.util.Map;7;2;3;2;0;0
freecs.commands.CmdSys;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdSys;java.util.List;1;0;0;0;1;0
freecs.commands.CmdSys;java.util.Map;0;0;0;0;0;0
freecs.core.RequestReader;java.util.Set;0;0;0;0;0;0
freecs.core.RequestReader;java.util.List;12;1;1;10;0;0
freecs.core.RequestReader;java.util.Map;0;0;0;0;0;0
freecs.external.xmlrpc.freecsXmlRpcHandler;java.util.Set;0;0;0;0;0;0
freecs.external.xmlrpc.freecsXmlRpcHandler;java.util.List;0;0;0;0;0;0
freecs.external.xmlrpc.freecsXmlRpcHandler;java.util.Map;12;12;0;0;0;0
freecs.commands.CommandSet;java.util.Set;1;0;0;0;1;0
freecs.commands.CommandSet;java.util.List;0;0;0;0;0;0
freecs.commands.CommandSet;java.util.Map;4;1;0;3;0;0
freecs.util.logger.LogWriter;java.util.Set;0;0;0;0;0;0
freecs.util.logger.LogWriter;java.util.List;0;0;0;0;0;0
freecs.util.logger.LogWriter;java.util.Map;3;1;1;1;0;0
freecs.core.UserManager.UserStore.UserStoreIterator;java.util.Set;0;0;0;0;0;0
freecs.core.UserManager.UserStore.UserStoreIterator;java.util.List;0;0;0;0;0;0
freecs.core.UserManager.UserStore.UserStoreIterator;java.util.Map;1;0;1;0;0;0
freecs.external.WebadminRequestHandler;java.util.Set;4;0;0;0;4;0
freecs.external.WebadminRequestHandler;java.util.List;13;6;0;2;5;0
freecs.external.WebadminRequestHandler;java.util.Map;6;2;0;4;0;0
freecs.auth.AbstractAuthenticator;java.util.Set;0;0;0;0;0;0
freecs.auth.AbstractAuthenticator;java.util.List;1;1;0;0;0;0
freecs.auth.AbstractAuthenticator;java.util.Map;1;1;0;0;0;0
freecs.auth.XmlRpcAuthenticator;java.util.Set;0;0;0;0;0;0
freecs.auth.XmlRpcAuthenticator;java.util.List;5;4;0;0;1;0
freecs.auth.XmlRpcAuthenticator;java.util.Map;16;6;0;10;0;0
freecs.commands.CmdIgnore;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdIgnore;java.util.List;4;0;0;2;2;0
freecs.commands.CmdIgnore;java.util.Map;0;0;0;0;0;0
freecs.util.TrafficMonitor;java.util.Set;0;0;0;0;0;0
freecs.util.TrafficMonitor;java.util.List;0;0;0;0;0;0
freecs.util.TrafficMonitor;java.util.Map;5;1;1;3;0;0
freecs.core.UserManager;java.util.Set;0;0;0;0;0;0
freecs.core.UserManager;java.util.List;34;6;10;16;2;0
freecs.core.UserManager;java.util.Map;7;1;1;5;0;0
freecs.commands.CmdRespectUser;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdRespectUser;java.util.List;11;4;0;5;2;0
freecs.commands.CmdRespectUser;java.util.Map;0;0;0;0;0;0
freecs.commands.CmdUnBan;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdUnBan;java.util.List;11;2;0;6;3;0
freecs.commands.CmdUnBan;java.util.Map;0;0;0;0;0;0
freecs.commands.CmdKickToRoom;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdKickToRoom;java.util.List;4;0;0;2;2;0
freecs.commands.CmdKickToRoom;java.util.Map;0;0;0;0;0;0
freecs.external.xmlrpc.XmlRpcManager;java.util.Set;1;0;0;0;1;0
freecs.external.xmlrpc.XmlRpcManager;java.util.List;0;0;0;0;0;0
freecs.external.xmlrpc.XmlRpcManager;java.util.Map;1;0;0;1;0;0
freecs.util.GroupUserList;java.util.Set;1;0;0;0;1;0
freecs.util.GroupUserList;java.util.List;7;2;0;4;1;0
freecs.util.GroupUserList;java.util.Map;3;1;0;2;0;0
freecs.commands.CmdRSu;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdRSu;java.util.List;6;0;0;4;2;0
freecs.commands.CmdRSu;java.util.Map;0;0;0;0;0;0
freecs.Server;java.util.Set;1;0;0;0;1;0
freecs.Server;java.util.List;38;14;8;8;8;0
freecs.Server;java.util.Map;65;16;25;24;0;0
freecs.commands.CmdKickHard;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdKickHard;java.util.List;5;0;0;3;2;0
freecs.commands.CmdKickHard;java.util.Map;0;0;0;0;0;0
freecs.commands.CmdLockChangeForeignAction;java.util.Set;0;0;0;0;0;0
freecs.commands.CmdLockChangeForeignAction;java.util.List;21;0;0;12;9;0
freecs.commands.CmdLockChangeForeignAction;java.util.Map;0;0;0;0;0;0
freecs.util.FadeColor;java.util.Set;0;0;0;0;0;0
freecs.util.FadeColor;java.util.List;2;1;0;0;1;0
freecs.util.FadeColor;java.util.Map;0;0;0;0;0;0
freecs.commands.AbstractCommand;java.util.Set;0;0;0;0;0;0
freecs.commands.AbstractCommand;java.util.List;16;4;0;10;2;0
freecs.commands.AbstractCommand;java.util.Map;0;0;0;0;0;0
freecs.core.RequestMonitor;java.util.Set;1;0;0;0;1;0
freecs.core.RequestMonitor;java.util.List;0;0;0;0;0;0
freecs.core.RequestMonitor;java.util.Map;3;1;1;1;0;0
freecs.auth.sqlConnectionPool.PoolElement;java.util.Set;0;0;0;0;0;0
freecs.auth.sqlConnectionPool.PoolElement;java.util.List;8;0;0;6;2;0
freecs.auth.sqlConnectionPool.PoolElement;java.util.Map;0;0;0;0;0;0
freecs.util.HtmlEncoder;java.util.Set;7;0;0;7;0;0
