class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jgrapht.ext.IntegerEdgeNameProvider;java.util.Set;0;0;0;0;0;0
org.jgrapht.ext.IntegerEdgeNameProvider;java.util.List;0;0;0;0;0;0
org.jgrapht.ext.IntegerEdgeNameProvider;java.util.Map;3;1;1;1;0;0
org.jgrapht.ext.JGraphModelAdapter.ShieldedGraph;java.util.Set;8;4;4;0;0;0
org.jgrapht.ext.JGraphModelAdapter.ShieldedGraph;java.util.List;0;0;0;0;0;0
org.jgrapht.ext.JGraphModelAdapter.ShieldedGraph;java.util.Map;0;0;0;0;0;0
org.jgrapht.ext.JGraphModelAdapter.JGraphListener;java.util.Set;0;0;0;0;0;0
org.jgrapht.ext.JGraphModelAdapter.JGraphListener;java.util.List;8;3;0;0;5;0
org.jgrapht.ext.JGraphModelAdapter.JGraphListener;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.CompleteGraphGenerator;java.util.Set;2;0;0;0;2;0
org.jgrapht.generate.CompleteGraphGenerator;java.util.List;0;0;0;0;0;0
org.jgrapht.generate.CompleteGraphGenerator;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.alg.color.GreedyColoring;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.alg.color.GreedyColoring;java.util.List;7;2;2;3;0;0
org.jgrapht.experimental.alg.color.GreedyColoring;java.util.Map;0;0;0;0;0;0
org.jgrapht.experimental.GraphReader;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.GraphReader;java.util.List;9;1;0;7;1;0
org.jgrapht.experimental.GraphReader;java.util.Map;3;1;0;2;0;0
org.jgrapht.experimental.isomorphism.PermutationIsomorphismInspector;java.util.Set;4;0;0;2;2;0
org.jgrapht.experimental.isomorphism.PermutationIsomorphismInspector;java.util.List;0;0;0;0;0;0
org.jgrapht.experimental.isomorphism.PermutationIsomorphismInspector;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph;java.util.Set;2;0;1;1;0;0
org.jgrapht.graph.AbstractBaseGraph;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph;java.util.Map;5;2;2;1;0;0
org.jgrapht.ext.VisioExporter;java.util.Set;2;0;0;0;2;0
org.jgrapht.ext.VisioExporter;java.util.List;0;0;0;0;0;0
org.jgrapht.ext.VisioExporter;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.AbstractGraph;java.util.Set;0;0;0;0;0;0
org.jgrapht.graph.AbstractGraph;java.util.List;1;1;0;0;0;0
org.jgrapht.graph.AbstractGraph;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.NeighborIndex.Neighbors;java.util.Set;0;0;0;0;0;0
org.jgrapht.alg.NeighborIndex.Neighbors;java.util.List;1;1;0;0;0;0
org.jgrapht.alg.NeighborIndex.Neighbors;java.util.Map;4;1;1;2;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.VisitedArrayListImpl;java.util.Set;0;0;0;0;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.VisitedArrayListImpl;java.util.List;5;3;0;2;0;0
org.jgrapht.experimental.dag.DirectedAcyclicGraph.VisitedArrayListImpl;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.EdmondsKarpMaximumFlow;java.util.Set;2;0;0;1;1;0
org.jgrapht.alg.EdmondsKarpMaximumFlow;java.util.List;24;3;0;21;0;0
org.jgrapht.alg.EdmondsKarpMaximumFlow;java.util.Map;5;2;0;3;0;0
org.jgrapht.traverse.CrossComponentIterator;java.util.Set;1;0;0;0;1;0
org.jgrapht.traverse.CrossComponentIterator;java.util.List;0;0;0;0;0;0
org.jgrapht.traverse.CrossComponentIterator;java.util.Map;2;1;0;1;0;0
org.jgrapht.alg.KShortestPathsIterator;java.util.Set;7;3;0;0;4;0
org.jgrapht.alg.KShortestPathsIterator;java.util.List;0;0;0;0;0;0
org.jgrapht.alg.KShortestPathsIterator;java.util.Map;9;4;0;5;0;0
org.jgrapht.graph.UndirectedGraphUnion;java.util.Set;1;0;0;1;0;0
org.jgrapht.graph.UndirectedGraphUnion;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.UndirectedGraphUnion;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.HamiltonianCycle;java.util.Set;2;0;0;2;0;0
org.jgrapht.alg.HamiltonianCycle;java.util.List;10;1;1;8;0;0
org.jgrapht.alg.HamiltonianCycle;java.util.Map;0;0;0;0;0;0
org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics;java.util.Set;7;1;1;3;2;0
org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics;java.util.List;4;1;1;2;0;0
org.jgrapht.graph.AbstractBaseGraph.DirectedSpecifics;java.util.Map;3;2;0;1;0;0
org.jgrapht.graph.MaskVertexSet.MaskVertexSetNextElementFunctor;java.util.Set;1;0;0;0;1;0
org.jgrapht.graph.MaskVertexSet.MaskVertexSetNextElementFunctor;java.util.List;0;0;0;0;0;0
org.jgrapht.graph.MaskVertexSet.MaskVertexSetNextElementFunctor;java.util.Map;0;0;0;0;0;0
