class;collection;methods;adicao;remocao;busca;acesso;edicao
org.axiondb.jdbc.AxionStatement;java.util.Set;0;0;0;0;0;0
org.axiondb.jdbc.AxionStatement;java.util.List;4;1;1;1;1;0
org.axiondb.jdbc.AxionStatement;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.rowiterators.JoinedRow;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.JoinedRow;java.util.List;5;1;0;4;0;0
org.axiondb.engine.rowiterators.JoinedRow;java.util.Map;0;0;0;0;0;0
org.axiondb.Sequence;java.util.Set;0;0;0;0;0;0
org.axiondb.Sequence;java.util.List;2;1;0;0;1;0
org.axiondb.Sequence;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.commands.InsertCommand;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.commands.InsertCommand;java.util.List;17;4;0;10;3;0
org.axiondb.engine.commands.InsertCommand;java.util.Map;1;1;0;0;0;0
org.axiondb.tools.Console;java.util.Set;0;0;0;0;0;0
org.axiondb.tools.Console;java.util.List;3;1;0;2;0;0
org.axiondb.tools.Console;java.util.Map;0;0;0;0;0;0
org.axiondb.util.ObjectBTree;java.util.Set;0;0;0;0;0;0
org.axiondb.util.ObjectBTree;java.util.List;63;13;7;43;0;0
org.axiondb.util.ObjectBTree;java.util.Map;6;3;0;3;0;0
org.axiondb.engine.TransactableTableImpl.TransformUpdated;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.TransactableTableImpl.TransformUpdated;java.util.List;0;0;0;0;0;0
org.axiondb.engine.TransactableTableImpl.TransformUpdated;java.util.Map;1;0;0;1;0;0
org.axiondb.constraints.UniqueConstraint;java.util.Set;0;0;0;0;0;0
org.axiondb.constraints.UniqueConstraint;java.util.List;1;1;0;0;0;0
org.axiondb.constraints.UniqueConstraint;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.ObjectArrayIndex;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.ObjectArrayIndex;java.util.List;9;1;2;6;0;0
org.axiondb.engine.ObjectArrayIndex;java.util.Map;0;0;0;0;0;0
org.axiondb.functions.BaseFunction;java.util.Set;0;0;0;0;0;0
org.axiondb.functions.BaseFunction;java.util.List;3;1;0;2;0;0
org.axiondb.functions.BaseFunction;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.rowiterators.IndexJoinedRowIterator;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.IndexJoinedRowIterator;java.util.List;9;1;0;6;2;0
org.axiondb.engine.rowiterators.IndexJoinedRowIterator;java.util.Map;0;0;0;0;0;0
org.axiondb.functions.MatchesFunction;java.util.Set;0;0;0;0;0;0
org.axiondb.functions.MatchesFunction;java.util.List;0;0;0;0;0;0
org.axiondb.functions.MatchesFunction;java.util.Map;2;1;0;1;0;0
org.axiondb.engine.commands.DeleteCommand;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.commands.DeleteCommand;java.util.List;1;0;0;0;1;0
org.axiondb.engine.commands.DeleteCommand;java.util.Map;0;0;0;0;0;0
org.axiondb.event.BaseTableModificationPublisher;java.util.Set;0;0;0;0;0;0
org.axiondb.event.BaseTableModificationPublisher;java.util.List;4;1;1;0;2;0
org.axiondb.event.BaseTableModificationPublisher;java.util.Map;0;0;0;0;0;0
org.axiondb.parser.AxionSqlParser;java.util.Set;0;0;0;0;0;0
org.axiondb.parser.AxionSqlParser;java.util.List;18;17;0;0;1;0
org.axiondb.parser.AxionSqlParser;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.commands.RemountCommand;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.commands.RemountCommand;java.util.List;1;0;0;0;1;0
org.axiondb.engine.commands.RemountCommand;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.commands.BaseAxionCommand;java.util.Set;10;6;0;0;4;0
org.axiondb.engine.commands.BaseAxionCommand;java.util.List;2;2;0;0;0;0
org.axiondb.engine.commands.BaseAxionCommand;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.rowiterators.SimpleJoinedRowIterator;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.SimpleJoinedRowIterator;java.util.List;35;1;0;32;2;0
org.axiondb.engine.rowiterators.SimpleJoinedRowIterator;java.util.Map;0;0;0;0;0;0
org.axiondb.util.IntListIteratorChain;java.util.Set;0;0;0;0;0;0
org.axiondb.util.IntListIteratorChain;java.util.List;4;3;0;1;0;0
org.axiondb.util.IntListIteratorChain;java.util.Map;0;0;0;0;0;0
org.axiondb.functions.LikeToRegexpFunction;java.util.Set;0;0;0;0;0;0
org.axiondb.functions.LikeToRegexpFunction;java.util.List;0;0;0;0;0;0
org.axiondb.functions.LikeToRegexpFunction;java.util.Map;2;1;0;1;0;0
org.axiondb.engine.BaseTable;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.BaseTable;java.util.List;20;3;1;8;8;0
org.axiondb.engine.BaseTable;java.util.Map;4;2;1;1;0;0
org.axiondb.engine.FlattenWhereNodeVisitor;java.util.Set;4;4;0;0;0;0
org.axiondb.engine.FlattenWhereNodeVisitor;java.util.List;0;0;0;0;0;0
org.axiondb.engine.FlattenWhereNodeVisitor;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.commands.CreateTableCommand;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.commands.CreateTableCommand;java.util.List;16;3;0;11;2;0
org.axiondb.engine.commands.CreateTableCommand;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.rowiterators.ChainedRowIterator;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.ChainedRowIterator;java.util.List;7;1;0;6;0;0
org.axiondb.engine.rowiterators.ChainedRowIterator;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.BaseDatabase;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.BaseDatabase;java.util.List;6;1;0;0;5;0
org.axiondb.engine.BaseDatabase;java.util.Map;21;5;2;14;0;0
org.axiondb.engine.TransactableTableImpl;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.TransactableTableImpl;java.util.List;17;2;0;6;9;0
org.axiondb.engine.TransactableTableImpl;java.util.Map;5;1;1;1;2;0
org.axiondb.engine.ObjectArrayIndexLoader;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.ObjectArrayIndexLoader;java.util.List;4;1;0;3;0;0
org.axiondb.engine.ObjectArrayIndexLoader;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.rowiterators.DistinctRowIterator;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.DistinctRowIterator;java.util.List;1;1;0;0;0;0
org.axiondb.engine.rowiterators.DistinctRowIterator;java.util.Map;5;2;2;1;0;0
org.axiondb.engine.commands.SelectCommand;java.util.Set;6;2;0;0;4;0
org.axiondb.engine.commands.SelectCommand;java.util.List;26;9;0;11;6;0
org.axiondb.engine.commands.SelectCommand;java.util.Map;4;3;0;1;0;0
org.axiondb.engine.TransactableTableImpl.ExcludeUpdated;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.TransactableTableImpl.ExcludeUpdated;java.util.List;0;0;0;0;0;0
org.axiondb.engine.TransactableTableImpl.ExcludeUpdated;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.BaseArrayIndex;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.BaseArrayIndex;java.util.List;1;0;0;1;0;0
org.axiondb.engine.BaseArrayIndex;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.commands.CreateIndexCommand;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.commands.CreateIndexCommand;java.util.List;6;2;0;4;0;0
org.axiondb.engine.commands.CreateIndexCommand;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.rowiterators.BaseJoinedRowIterator;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.BaseJoinedRowIterator;java.util.List;4;0;0;4;0;0
org.axiondb.engine.rowiterators.BaseJoinedRowIterator;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.TransactionManagerImpl;java.util.Set;2;0;0;0;2;0
org.axiondb.engine.TransactionManagerImpl;java.util.List;18;2;4;7;5;0
org.axiondb.engine.TransactionManagerImpl;java.util.Map;0;0;0;0;0;0
org.axiondb.constraints.BaseSelectableBasedConstraint;java.util.Set;0;0;0;0;0;0
org.axiondb.constraints.BaseSelectableBasedConstraint;java.util.List;6;2;0;4;0;0
org.axiondb.constraints.BaseSelectableBasedConstraint;java.util.Map;0;0;0;0;0;0
org.axiondb.util.BTree;java.util.Set;0;0;0;0;0;0
org.axiondb.util.BTree;java.util.List;0;0;0;0;0;0
org.axiondb.util.BTree;java.util.Map;6;3;0;3;0;0
org.axiondb.engine.commands.UpdateCommand;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.commands.UpdateCommand;java.util.List;13;4;0;6;3;0
org.axiondb.engine.commands.UpdateCommand;java.util.Map;1;1;0;0;0;0
org.axiondb.RowDecorator;java.util.Set;0;0;0;0;0;0
org.axiondb.RowDecorator;java.util.List;0;0;0;0;0;0
org.axiondb.RowDecorator;java.util.Map;1;0;0;1;0;0
org.axiondb.InWhereNode;java.util.Set;0;0;0;0;0;0
org.axiondb.InWhereNode;java.util.List;1;0;0;0;1;0
org.axiondb.InWhereNode;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.MemoryTable;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.MemoryTable;java.util.List;10;6;0;4;0;0
org.axiondb.engine.MemoryTable;java.util.Map;0;0;0;0;0;0
org.axiondb.functions.FunctionIdentifier;java.util.Set;0;0;0;0;0;0
org.axiondb.functions.FunctionIdentifier;java.util.List;3;1;0;2;0;0
org.axiondb.functions.FunctionIdentifier;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.SnapshotIsolationTransaction;java.util.Set;4;4;0;0;0;0
org.axiondb.engine.SnapshotIsolationTransaction;java.util.List;0;0;0;0;0;0
org.axiondb.engine.SnapshotIsolationTransaction;java.util.Map;2;1;0;1;0;0
org.axiondb.engine.commands.CheckFileStateCommand;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.commands.CheckFileStateCommand;java.util.List;0;0;0;0;0;0
org.axiondb.engine.commands.CheckFileStateCommand;java.util.Map;1;1;0;0;0;0
org.axiondb.engine.DiskDatabase;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.DiskDatabase;java.util.List;0;0;0;0;0;0
org.axiondb.engine.DiskDatabase;java.util.Map;0;0;0;0;0;0
org.axiondb.util.BTree.StateStack;java.util.Set;0;0;0;0;0;0
org.axiondb.util.BTree.StateStack;java.util.List;6;1;1;3;1;0
org.axiondb.util.BTree.StateStack;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.rowiterators.CollatingRowIterator;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.CollatingRowIterator;java.util.List;19;4;0;14;1;0
org.axiondb.engine.rowiterators.CollatingRowIterator;java.util.Map;0;0;0;0;0;0
org.axiondb.engine.Databases;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.Databases;java.util.List;0;0;0;0;0;0
org.axiondb.engine.Databases;java.util.Map;3;1;1;1;0;0
org.axiondb.engine.SortedMapIndex;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.SortedMapIndex;java.util.List;10;2;0;8;0;0
org.axiondb.engine.SortedMapIndex;java.util.Map;8;3;1;4;0;0
org.axiondb.engine.rowiterators.BaseRowIterator;java.util.Set;0;0;0;0;0;0
org.axiondb.engine.rowiterators.BaseRowIterator;java.util.List;2;0;0;2;0;0
org.axiondb.engine.rowiterators.BaseRowIterator;java.util.Map;0;0;0;0;0;0
