class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jext.project.AbstractProjectManager;java.util.Set;0;0;0;0;0;0
org.jext.project.AbstractProjectManager;java.util.List;9;2;1;4;2;0
org.jext.project.AbstractProjectManager;java.util.Map;0;0;0;0;0;0
org.jext.misc.Workspaces.WorkspaceElement;java.util.Set;0;0;0;0;0;0
org.jext.misc.Workspaces.WorkspaceElement;java.util.List;1;0;0;1;0;0
org.jext.misc.Workspaces.WorkspaceElement;java.util.Map;0;0;0;0;0;0
FindInFilesHelper;java.util.Set;0;0;0;0;0;0
FindInFilesHelper;java.util.List;6;1;0;4;1;0
FindInFilesHelper;java.util.Map;0;0;0;0;0;0
org.jext.search.SearchHighlight;java.util.Set;0;0;0;0;0;0
org.jext.search.SearchHighlight;java.util.List;2;0;0;2;0;0
org.jext.search.SearchHighlight;java.util.Map;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.Gutter.GutterMouseListener;java.util.Set;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.Gutter.GutterMouseListener;java.util.List;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.Gutter.GutterMouseListener;java.util.Map;33;33;0;0;0;0
org.jext.project.DefaultProjectManager;java.util.Set;0;0;0;0;0;0
org.jext.project.DefaultProjectManager;java.util.List;9;2;2;4;1;0
org.jext.project.DefaultProjectManager;java.util.Map;7;2;2;3;0;0
JSLineBreaker;java.util.Set;0;0;0;0;0;0
JSLineBreaker;java.util.List;4;0;0;2;2;0
JSLineBreaker;java.util.Map;2;0;0;2;0;0
PlugReader;java.util.Set;0;0;0;0;0;0
PlugReader;java.util.List;11;5;2;0;4;0
PlugReader;java.util.Map;13;1;1;11;0;0
org.jext.console.commands.HomeCommand;java.util.Set;0;0;0;0;0;0
org.jext.console.commands.HomeCommand;java.util.List;0;0;0;0;0;0
org.jext.console.commands.HomeCommand;java.util.Map;1;1;0;0;0;0
UML.Operation;java.util.Set;0;0;0;0;0;0
UML.Operation;java.util.List;1;0;0;1;0;0
UML.Operation;java.util.Map;0;0;0;0;0;0
org.jext.dawn.Function;java.util.Set;0;0;0;0;0;0
org.jext.dawn.Function;java.util.List;0;0;0;0;0;0
org.jext.dawn.Function;java.util.Map;3;1;0;2;0;0
KeystrokeRecorderPlugin;java.util.Set;0;0;0;0;0;0
KeystrokeRecorderPlugin;java.util.List;0;0;0;0;0;0
KeystrokeRecorderPlugin;java.util.Map;0;0;0;0;0;0
com.incors.plaf.FastGradientPaintContext;java.util.Set;0;0;0;0;0;0
com.incors.plaf.FastGradientPaintContext;java.util.List;3;1;1;1;0;0
com.incors.plaf.FastGradientPaintContext;java.util.Map;2;1;0;1;0;0
org.jext.options.OptionsDialog;java.util.Set;0;0;0;0;0;0
org.jext.options.OptionsDialog;java.util.List;8;3;0;2;3;0
org.jext.options.OptionsDialog;java.util.Map;0;0;0;0;0;0
org.jext.JextFrame.PluginHandler;java.util.Set;0;0;0;0;0;0
org.jext.JextFrame.PluginHandler;java.util.List;2;0;0;2;0;0
org.jext.JextFrame.PluginHandler;java.util.Map;0;0;0;0;0;0
org.jext.xml.XMenuHandler;java.util.Set;0;0;0;0;0;0
org.jext.xml.XMenuHandler;java.util.List;0;0;0;0;0;0
org.jext.xml.XMenuHandler;java.util.Map;0;0;0;0;0;0
org.jext.GUIUtilities;java.util.Set;0;0;0;0;0;0
org.jext.GUIUtilities;java.util.List;0;0;0;0;0;0
org.jext.GUIUtilities;java.util.Map;2;1;0;1;0;0
org.jext.misc.ZipExplorer.ZipTableModel;java.util.Set;0;0;0;0;0;0
org.jext.misc.ZipExplorer.ZipTableModel;java.util.List;6;2;0;4;0;0
org.jext.misc.ZipExplorer.ZipTableModel;java.util.Map;0;0;0;0;0;0
org.jext.misc.AboutPlugins;java.util.Set;0;0;0;0;0;0
org.jext.misc.AboutPlugins;java.util.List;2;0;0;2;0;0
org.jext.misc.AboutPlugins;java.util.Map;0;0;0;0;0;0
UMLTree.Node;java.util.Set;1;0;0;0;1;0
UMLTree.Node;java.util.List;10;3;0;7;0;0
UMLTree.Node;java.util.Map;3;1;0;2;0;0
org.jext.console.ConsoleListDir;java.util.Set;0;0;0;0;0;0
org.jext.console.ConsoleListDir;java.util.List;0;0;0;0;0;0
org.jext.console.ConsoleListDir;java.util.Map;2;2;0;0;0;0
org.gjt.sp.jedit.textarea.DefaultInputHandler;java.util.Set;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.DefaultInputHandler;java.util.List;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.DefaultInputHandler;java.util.Map;7;2;1;4;0;0
org.jext.options.UIOptions;java.util.Set;0;0;0;0;0;0
org.jext.options.UIOptions;java.util.List;2;0;0;2;0;0
org.jext.options.UIOptions;java.util.Map;2;0;0;2;0;0
org.jext.dawn.stack.ReverseFunction;java.util.Set;0;0;0;0;0;0
org.jext.dawn.stack.ReverseFunction;java.util.List;1;0;0;1;0;0
org.jext.dawn.stack.ReverseFunction;java.util.Map;0;0;0;0;0;0
org.jext.dawn.array.ElementsFunction;java.util.Set;0;0;0;0;0;0
org.jext.dawn.array.ElementsFunction;java.util.List;0;0;0;0;0;0
org.jext.dawn.array.ElementsFunction;java.util.Map;0;0;0;0;0;0
FindAll;java.util.Set;0;0;0;0;0;0
FindAll;java.util.List;1;1;0;0;0;0
FindAll;java.util.Map;0;0;0;0;0;0
FunnyBracketsPlugin;java.util.Set;0;0;0;0;0;0
FunnyBracketsPlugin;java.util.List;1;1;0;0;0;0
FunnyBracketsPlugin;java.util.Map;0;0;0;0;0;0
ClassBrowser;java.util.Set;0;0;0;0;0;0
ClassBrowser;java.util.List;3;0;0;3;0;0
ClassBrowser;java.util.Map;5;1;0;4;0;0
org.jext.misc.Workspaces.DnDHandler;java.util.Set;0;0;0;0;0;0
org.jext.misc.Workspaces.DnDHandler;java.util.List;1;0;0;0;1;0
org.jext.misc.Workspaces.DnDHandler;java.util.Map;0;0;0;0;0;0
org.jext.project.DefaultProjectManager.DefaultProject;java.util.Set;0;0;0;0;0;0
org.jext.project.DefaultProjectManager.DefaultProject;java.util.List;4;1;0;1;2;0
org.jext.project.DefaultProjectManager.DefaultProject;java.util.Map;0;0;0;0;0;0
gnu.regexp.RE;java.util.Set;0;0;0;0;0;0
gnu.regexp.RE;java.util.List;1;0;0;1;0;0
gnu.regexp.RE;java.util.Map;0;0;0;0;0;0
org.jext.Utilities;java.util.Set;0;0;0;0;0;0
org.jext.Utilities;java.util.List;3;1;0;1;1;0
org.jext.Utilities;java.util.Map;0;0;0;0;0;0
org.jext.xinsert.XTree.XTreeCellRenderer;java.util.Set;0;0;0;0;0;0
org.jext.xinsert.XTree.XTreeCellRenderer;java.util.List;0;0;0;0;0;0
org.jext.xinsert.XTree.XTreeCellRenderer;java.util.Map;0;0;0;0;0;0
gnu.regexp.RETokenRepeated;java.util.Set;0;0;0;0;0;0
gnu.regexp.RETokenRepeated;java.util.List;1;0;0;1;0;0
gnu.regexp.RETokenRepeated;java.util.Map;0;0;0;0;0;0
org.jext.options.KeyShortcutsOptions;java.util.Set;0;0;0;0;0;0
org.jext.options.KeyShortcutsOptions;java.util.List;0;0;0;0;0;0
org.jext.options.KeyShortcutsOptions;java.util.Map;1;0;0;1;0;0
org.jext.JARClassLoader;java.util.Set;0;0;0;0;0;0
org.jext.JARClassLoader;java.util.List;16;3;0;13;0;0
org.jext.JARClassLoader;java.util.Map;0;0;0;0;0;0
org.jext.print.PrintText;java.util.Set;0;0;0;0;0;0
org.jext.print.PrintText;java.util.List;4;2;0;2;0;0
org.jext.print.PrintText;java.util.Map;0;0;0;0;0;0
Tag;java.util.Set;0;0;0;0;0;0
Tag;java.util.List;6;1;0;5;0;0
Tag;java.util.Map;0;0;0;0;0;0
InsertClassName;java.util.Set;0;0;0;0;0;0
InsertClassName;java.util.List;2;1;0;0;1;0
InsertClassName;java.util.Map;0;0;0;0;0;0
org.jext.JextLoader;java.util.Set;0;0;0;0;0;0
org.jext.JextLoader;java.util.List;8;0;0;8;0;0
org.jext.JextLoader;java.util.Map;0;0;0;0;0;0
org.jext.actions.CompleteWord;java.util.Set;6;2;0;3;1;0
org.jext.actions.CompleteWord;java.util.List;0;0;0;0;0;0
org.jext.actions.CompleteWord;java.util.Map;0;0;0;0;0;0
org.jext.options.ColorTable.ColorTableModel;java.util.Set;1;0;0;0;1;0
org.jext.options.ColorTable.ColorTableModel;java.util.List;9;1;0;8;0;0
org.jext.options.ColorTable.ColorTableModel;java.util.Map;0;0;0;0;0;0
org.jext.JextFrame;java.util.Set;0;0;0;0;0;0
org.jext.JextFrame;java.util.List;12;2;3;5;2;0
